Job Id,Experience,Qualifications,Salary Range,location,Country,Work Type,Company Size,Preference,Job Title,Role,Company,Company Profile
1630065504680690,4 to 10 Years,M.Com,$58K-$128K,Vilnius,Lithuania,Intern,112647,Female,Data Engineer,Big Data Engineer,State Bank of India (SBI),Banking
2597584253329549,4 to 10 Years,BA,$58K-$125K,Douglas,Isle of Man,Full-Time,120658,Both,Data Scientist,Data Engineer,Shriram Transport Finance Company,Financial Services
330355657547739,0 to 8 Years,B.Tech,$59K-$130K,George Town,Cayman Islands,Contract,101231,Male,Data Engineer,ETL Developer,Wesfarmers Limited,Retail and Conglomerate
623785904226895,3 to 12 Years,B.Com,$58K-$100K,Noumea,New Caledonia,Temporary,23816,Male,Data Engineer,ETL Developer,AutoZone,Automotive Parts
437970929034062,4 to 10 Years,B.Com,$58K-$91K,Basseterre,St. Kitts and Nevis,Contract,89154,Both,Data Analyst,Data Scientist,Huntington Bancshares,Financial Services
2842643552063798,3 to 10 Years,B.Com,$62K-$130K,Dhaka,Bangladesh,Temporary,51959,Female,Data Analyst,Business Intelligence Analyst,Great Wall Motors,Automotive
693627280829184,3 to 14 Years,PhD,$65K-$94K,Kingston,Jamaica,Contract,72701,Male,Data Analyst,Business Intelligence Analyst,Experian,Data and Analytics
659329208135258,2 to 13 Years,B.Com,$55K-$91K,Singapore,Singapore,Contract,127661,Both,Data Engineer,Big Data Engineer,Salesforce,Technology
1542264828000729,3 to 10 Years,M.Tech,$59K-$90K,City of Baghdad,Iraq,Temporary,14993,Male,Data Analyst,Business Intelligence Analyst,Thor Industries,Recreational Vehicles
1169512043599927,1 to 12 Years,M.Tech,$58K-$101K,Moroni,Comoros,Full-Time,38659,Female,Data Analyst,Data Scientist,Regeneron Pharmaceuticals,Pharmaceuticals
74169340689502,0 to 8 Years,PhD,$64K-$110K,Philipsburg,Sint Maarten (Dutch part),Full-Time,119735,Female,Data Analyst,Business Intelligence Analyst,Barclays,Financial Services
1084855781919124,5 to 11 Years,BBA,$59K-$119K,Yaren District (de facto),Nauru,Part-Time,57495,Female,Data Engineer,Data Architect,Fortescue Metals Group,Mining and Metals
590650209040465,0 to 8 Years,MBA,$59K-$122K,Brussels,Belgium,Intern,128342,Both,Data Analyst,Data Scientist,PPL,Energy
437618274861630,0 to 9 Years,PhD,$61K-$98K,San Jose,Costa Rica,Contract,89309,Male,Data Scientist,Machine Learning Engineer,Deutsche Pfandbriefbank AG,Banking
173843027538811,2 to 13 Years,BA,$58K-$115K,Macao,"Macao SAR, China",Contract,108866,Male,Data Engineer,ETL Developer,GlaxoSmithKline,Pharmaceuticals
2566941399227699,5 to 11 Years,M.Com,$59K-$91K,Roseau,Dominica,Temporary,46267,Female,Data Analyst,Data Scientist,Campbell Soup,Food & Beverage
1021170259926234,0 to 15 Years,BBA,$65K-$90K,Muscat,Oman,Full-Time,89311,Female,Data Scientist,Data Engineer,Xiaomi Corporation,Technology and Electronics
449670746455462,1 to 13 Years,PhD,$63K-$121K,Lom̩,Togo,Intern,132637,Female,Data Engineer,Data Architect,Sun Pharmaceutical Industries,Pharmaceuticals
1849320532473531,0 to 9 Years,B.Com,$55K-$94K,Guatemala City,Guatemala,Temporary,97351,Both,Data Analyst,Data Quality Analyst,International Business Machines,Technology
1580462897224456,3 to 13 Years,MCA,$61K-$80K,Bissau,Guinea-Bissau,Contract,26452,Male,Data Analyst,Data Scientist,ConocoPhillips,Energy
2257288161512659,3 to 9 Years,B.Tech,$65K-$89K,Guatemala City,Guatemala,Full-Time,97852,Both,Data Engineer,ETL Developer,Adidas AG,Apparel and Footwear
501479651473413,3 to 13 Years,M.Tech,$64K-$80K,Lilongwe,Malawi,Temporary,100592,Female,Data Analyst,Business Intelligence Analyst,Knight-Swift Transportation Holdings,Industrials
2503040743267240,5 to 15 Years,BCA,$61K-$107K,Yaren District (de facto),Nauru,Contract,121396,Female,Data Scientist,Data Engineer,ARKO,Energy
1256591974515276,1 to 11 Years,M.Com,$58K-$81K,Mbabane,Eswatini,Intern,129637,Female,Data Analyst,Data Scientist,Tata Consumer Products,
361028406623955,3 to 10 Years,MBA,$62K-$98K,Banjul,Gambia,Part-Time,73219,Male,Data Engineer,ETL Developer,Adani Enterprises,Conglomerate
2411714118156943,1 to 8 Years,BA,$62K-$87K,Road Town,British Virgin Islands,Contract,91597,Male,Data Scientist,Data Engineer,Duke Energy,Energy
1016682755498162,4 to 11 Years,M.Com,$63K-$117K,Macao,"Macao SAR, China",Full-Time,81987,Female,Data Scientist,Data Engineer,Danaher,Healthcare
118393572843117,4 to 10 Years,M.Tech,$65K-$117K,New Delhi,India,Full-Time,43424,Both,Data Scientist,Data Engineer,Gilead Sciences,
3078735179757958,0 to 8 Years,PhD,$62K-$123K,Saint John's,Antigua and Barbuda,Contract,71142,Male,Data Analyst,Business Intelligence Analyst,Marsh & McLennan,Insurance
1631550065038519,5 to 14 Years,B.Com,$57K-$80K,Apia,Samoa,Temporary,81157,Both,Data Engineer,ETL Developer,Hershey,Food & Confectionery
2450213854651690,2 to 10 Years,M.Tech,$63K-$111K,Juba,South Sudan,Contract,14801,Male,Data Engineer,Big Data Engineer,Mutual of Omaha Insurance,Insurance
1373350638609181,2 to 10 Years,BA,$62K-$105K,Apia,Samoa,Temporary,31009,Male,Data Scientist,Machine Learning Engineer,Ford Motor Company,Automotive
2016246550049334,5 to 12 Years,M.Tech,$64K-$117K,Tehran,"Iran, Islamic Rep.",Contract,41737,Both,Data Analyst,Data Scientist,Renishaw,Manufacturing
582324952506357,2 to 12 Years,BCA,$61K-$121K,Bamako,Mali,Contract,66362,Male,Data Analyst,Data Quality Analyst,Progressive,Insurance
1066127075502329,3 to 15 Years,MCA,$56K-$95K,Paramaribo,Suriname,Full-Time,124691,Both,Data Analyst,Data Scientist,Aditya Birla Capital,Financial Services
574851349980417,3 to 13 Years,M.Com,$60K-$96K,Yerevan,Armenia,Part-Time,118085,Both,Data Scientist,Machine Learning Engineer,CHS,Agriculture
1710644619321328,5 to 14 Years,BA,$63K-$97K,Copenhagen,Denmark,Full-Time,108857,Both,Data Engineer,ETL Developer,Tata Steel,Steel & Metals
2307945022439838,5 to 14 Years,MBA,$64K-$83K,Roseau,Dominica,Part-Time,105109,Both,Data Analyst,Business Intelligence Analyst,Darden Restaurants,Restaurants
2903263307521150,2 to 9 Years,BCA,$65K-$122K,Manama,Bahrain,Full-Time,103804,Male,Data Analyst,Data Scientist,Divi's Laboratories,Pharmaceuticals
490146438670493,4 to 14 Years,M.Tech,$61K-$115K,Nairobi,Kenya,Full-Time,54133,Both,Data Engineer,Data Architect,Baxter International,Healthcare
2543353415788188,5 to 12 Years,MCA,$63K-$128K,Skopje,"Macedonia, FYR",Full-Time,112409,Male,Data Analyst,Business Intelligence Analyst,Whirlpool,Manufacturing
2214808679736901,4 to 13 Years,M.Tech,$62K-$89K,Windhoek,Namibia,Contract,127027,Both,Data Scientist,Machine Learning Engineer,Massachusetts Mutual Life Insurance,Insurance
2931542319659305,4 to 8 Years,BCA,$65K-$108K,Dodoma,Tanzania,Full-Time,28385,Female,Data Scientist,Machine Learning Engineer,Citigroup,Financial Services
2339669959881353,1 to 11 Years,M.Tech,$59K-$89K,Funafuti,Tuvalu,Contract,104386,Both,Data Scientist,Data Engineer,Reynolds American Inc.,Tobacco
301270444048817,5 to 15 Years,BBA,$57K-$121K,Tallinn,Estonia,Part-Time,96151,Both,Data Analyst,Business Intelligence Analyst,Marathon Petroleum,Energy
1106514104860175,4 to 15 Years,MCA,$57K-$107K,Addis Ababa,Ethiopia,Part-Time,70791,Male,Data Analyst,Business Intelligence Analyst,Gilead Sciences,
878804934828965,5 to 8 Years,BBA,$62K-$117K,Tarawa,Kiribati,Full-Time,100094,Male,Data Analyst,Data Scientist,Citigroup,Financial Services
56502512421447,1 to 10 Years,B.Com,$64K-$104K,Prague,Czech Republic,Intern,123853,Female,Data Engineer,Data Architect,"Square, Inc.",Financial Technology/Payments
2534960812602002,4 to 9 Years,M.Com,$56K-$91K,Montevideo,Uruguay,Contract,98907,Female,Data Engineer,Big Data Engineer,Metro AG,Retail
796534430749887,2 to 13 Years,MBA,$57K-$90K,Banjul,Gambia,Temporary,69333,Both,Data Scientist,Machine Learning Engineer,Fifth Third Bancorp,Banking
501050177111342,2 to 11 Years,BBA,$57K-$121K,The City of Hamilton,Bermuda,Part-Time,75351,Both,Data Analyst,Business Intelligence Analyst,Macy's,Retail
711796492739391,1 to 11 Years,M.Com,$58K-$126K,Kingston,Jamaica,Part-Time,26928,Female,Data Analyst,Business Intelligence Analyst,Cigna Group,Healthcare
1783868913896102,2 to 12 Years,M.Com,$57K-$116K,Brussels,Belgium,Part-Time,63881,Both,Data Scientist,Data Engineer,Motorola Solutions,Communication Equipment
105462765482566,3 to 8 Years,B.Tech,$60K-$104K,Addis Ababa,Ethiopia,Part-Time,70667,Both,Data Engineer,Big Data Engineer,Science Applications International,Information Technology
2051555861041342,5 to 12 Years,BA,$55K-$85K,Lima,Peru,Temporary,66257,Female,Data Analyst,Business Intelligence Analyst,CRRC Corporation,Transportation and Rail
306961775009565,0 to 14 Years,MBA,$60K-$128K,Abu Dhabi,UAE,Temporary,13949,Both,Data Engineer,ETL Developer,Sun TV Network,Media & Entertainment
2468536882190964,3 to 14 Years,B.Tech,$58K-$105K,Majuro,Marshall Islands,Contract,120637,Female,Data Scientist,Machine Learning Engineer,Osram Licht AG (Now part of ams AG),Lighting and Technology
2296538316079648,4 to 13 Years,B.Tech,$62K-$99K,Seoul,"Korea, Rep.",Full-Time,109920,Female,Data Scientist,Machine Learning Engineer,GXO Logistics,Transportation
1918080986754637,4 to 10 Years,B.Tech,$64K-$81K,Moroni,Comoros,Temporary,79956,Male,Data Scientist,Data Engineer,Cairn Energy,Energy
160888832888502,1 to 8 Years,B.Tech,$57K-$121K,Basseterre,St. Kitts and Nevis,Temporary,15609,Male,Data Analyst,Business Intelligence Analyst,Axis Bank,Banking
995851004946382,1 to 11 Years,B.Tech,$64K-$130K,Guatemala City,Guatemala,Temporary,16916,Male,Data Analyst,Business Intelligence Analyst,ServiceNow,Information Technology
2763205640688560,0 to 11 Years,BBA,$58K-$82K,Charlotte Amalie,Virgin Islands (U.S.),Part-Time,96993,Both,Data Analyst,Data Scientist,MTU Aero Engines AG,Aerospace and Defense
476528205574523,1 to 9 Years,M.Tech,$56K-$100K,Tarawa,Kiribati,Contract,43302,Male,Data Engineer,Data Architect,Deutsche Lufthansa AG,Aviation and Travel
262986327964605,4 to 14 Years,M.Com,$62K-$119K,Victoria,Seychelles,Contract,44503,Male,Data Analyst,Data Scientist,Andersons,Agriculture
88982288403810,5 to 9 Years,MCA,$63K-$94K,San Marino,San Marino,Part-Time,93122,Female,Data Analyst,Data Scientist,Sprint Corporation,Telecommunications
1138511753783410,5 to 8 Years,PhD,$57K-$83K,Gaza,West Bank and Gaza,Contract,130746,Male,Data Analyst,Data Scientist,Goldman Sachs Group,Financial Services
2980155902383694,5 to 13 Years,MBA,$60K-$101K,Cairo,Egypt,Contract,34384,Both,Data Analyst,Data Scientist,Southern,Utilities
2190045873833741,3 to 13 Years,B.Tech,$59K-$110K,Freetown,Sierra Leone,Full-Time,79766,Female,Data Analyst,Business Intelligence Analyst,Advanced Micro Devices,Technology
1834599461767839,1 to 15 Years,BCA,$58K-$87K,City of Victoria,"Hong Kong SAR, China",Contract,71954,Male,Data Engineer,ETL Developer,EQT,Energy
2109448034473268,0 to 9 Years,B.Com,$61K-$108K,Nouakchott,Mauritania,Full-Time,96726,Female,Data Analyst,Data Quality Analyst,Dover,Manufacturing
94858814061716,5 to 13 Years,BA,$64K-$81K,Victoria,Seychelles,Part-Time,15040,Male,Data Analyst,Business Intelligence Analyst,Bandhan Bank,Banking
2618380005297617,1 to 15 Years,M.Tech,$55K-$104K,Victoria,Seychelles,Full-Time,25455,Female,Data Scientist,Machine Learning Engineer,Unum Group,Insurance
722727888411316,0 to 14 Years,B.Tech,$60K-$97K,Libreville,Gabon,Full-Time,118639,Both,Data Engineer,ETL Developer,Tech Mahindra,Information Technology
659785526090962,0 to 11 Years,B.Tech,$61K-$111K,Monaco,Monaco,Full-Time,82435,Female,Data Analyst,Business Intelligence Analyst,China Eastern Airlines,Aviation and Travel
514601171482002,2 to 12 Years,BBA,$61K-$125K,Addis Ababa,Ethiopia,Full-Time,27187,Male,Data Analyst,Data Scientist,DuPont,Manufacturing
2105290314433275,1 to 14 Years,BA,$65K-$100K,Luxembourg,Luxembourg,Part-Time,87335,Male,Data Engineer,Big Data Engineer,Raymond James Financial,Financial Services
3098893184251913,1 to 14 Years,BA,$56K-$83K,Athens,Greece,Intern,57726,Male,Data Scientist,Machine Learning Engineer,Campbell Soup,Food & Beverage
2716370065335715,5 to 15 Years,BCA,$61K-$81K,Bucharest,Romania,Full-Time,23600,Female,Data Engineer,Big Data Engineer,International Business Machines,Technology
1921966986165069,1 to 8 Years,M.Tech,$60K-$110K,Apia,Samoa,Temporary,38944,Male,Data Analyst,Business Intelligence Analyst,Home Depot,Retail
737252835385936,2 to 8 Years,M.Tech,$62K-$97K,Antananarivo,Madagascar,Full-Time,108487,Male,Data Engineer,Big Data Engineer,Disney+,Entertainment/Media Streaming
3022785465917449,2 to 10 Years,BCA,$58K-$109K,Yaren District (de facto),Nauru,Temporary,104259,Female,Data Analyst,Business Intelligence Analyst,Ameren,Utilities
2522067621934865,2 to 9 Years,BCA,$63K-$95K,Luxembourg,Luxembourg,Contract,108859,Both,Data Analyst,Data Scientist,Baker Hughes,Energy
1701448713092189,5 to 13 Years,BBA,$60K-$102K,Torshavn,Faroe Islands,Full-Time,104571,Both,Data Analyst,Data Scientist,E.ON SE,Energy
3085315932291099,2 to 11 Years,B.Com,$59K-$126K,San Salvador,El Salvador,Part-Time,132419,Female,Data Engineer,ETL Developer,PayPal Holdings,Financial Services
2912851000688528,1 to 10 Years,BA,$56K-$127K,Prague,Czech Republic,Full-Time,32486,Both,Data Engineer,ETL Developer,Autoliv,Automotive
1392913614111574,1 to 11 Years,PhD,$58K-$90K,Seoul,North Korea,Part-Time,17325,Male,Data Engineer,Data Architect,Netflix,Entertainment
781633808838300,5 to 10 Years,M.Com,$60K-$106K,Copenhagen,Denmark,Part-Time,49807,Both,Data Analyst,Data Scientist,ZTE Corporation,Technology and Telecommunications
198481319119556,3 to 11 Years,MBA,$60K-$91K,Thimphu,Bhutan,Part-Time,50163,Female,Data Analyst,Business Intelligence Analyst,Alaska Air Group,Airlines
1701541991505931,0 to 11 Years,BA,$57K-$93K,Papeete,French Polynesia,Temporary,22969,Female,Data Engineer,Big Data Engineer,Regeneron Pharmaceuticals,Pharmaceuticals
906929191784198,5 to 9 Years,BCA,$55K-$101K,Yerevan,Armenia,Contract,36104,Male,Data Analyst,Business Intelligence Analyst,Nike,Apparel and Footwear
1885894292903860,0 to 15 Years,PhD,$55K-$108K,Khartoum,Sudan,Temporary,86920,Female,Data Engineer,Data Architect,Arconic,Manufacturing
220819615818632,0 to 9 Years,MBA,$60K-$88K,Belmopan,Belize,Part-Time,19836,Male,Data Analyst,Data Scientist,Mirvac Group,Real Estate/Property Development
1290844401002679,5 to 14 Years,B.Tech,$63K-$117K,Moroni,Comoros,Temporary,35567,Both,Data Analyst,Data Quality Analyst,Ryder System,Transportation
1219192339844007,5 to 15 Years,BA,$55K-$83K,Muscat,Oman,Part-Time,110496,Female,Data Analyst,Data Scientist,C.H. Robinson Worldwide,Logistics
2415206121781975,2 to 13 Years,M.Tech,$62K-$116K,Apia,Samoa,Part-Time,119449,Male,Data Analyst,Business Intelligence Analyst,Par Pacific Holdings,Energy
1791447358803344,2 to 13 Years,BA,$61K-$94K,Gibraltar,Gibraltar,Temporary,52436,Female,Data Engineer,Big Data Engineer,General Mills,Food
2080819975927821,5 to 8 Years,BCA,$60K-$81K,Kigali,Rwanda,Full-Time,110925,Both,Data Analyst,Business Intelligence Analyst,Expedia Group,Travel and Booking
3095478126157117,1 to 12 Years,BA,$64K-$107K,Kabul,Afghanistan,Intern,57216,Both,Data Analyst,Data Scientist,Skechers U.S.A.,Consumer Discretionary
2983197894191157,2 to 10 Years,MBA,$61K-$82K,Banjul,Gambia,Temporary,134440,Both,Data Analyst,Business Intelligence Analyst,Go-Ahead Group,Transportation
1471024598400921,1 to 8 Years,BBA,$58K-$96K,Nouakchott,Mauritania,Intern,68136,Both,Data Scientist,Machine Learning Engineer,Blackstone,Financial Services
1420308262892424,0 to 15 Years,MCA,$61K-$114K,Caracas,"Venezuela, RB",Part-Time,118582,Both,Data Engineer,ETL Developer,Southern,Utilities
1713153358140837,2 to 10 Years,MCA,$62K-$111K,Thimphu,Bhutan,Full-Time,92009,Male,Data Analyst,Data Quality Analyst,Prudential Financial,Financial Services
1359247485040248,5 to 15 Years,M.Com,$56K-$116K,Kigali,Rwanda,Contract,30430,Male,Data Engineer,Big Data Engineer,"T-Mobile US, Inc.",Telecommunications
2891958804083148,4 to 13 Years,MCA,$60K-$93K,Tbilisi,Georgia,Contract,90950,Female,Data Engineer,ETL Developer,Sirius XM Holdings Inc.,Telecommunications/Radio
1321453892951886,4 to 12 Years,MCA,$62K-$92K,George Town,Cayman Islands,Full-Time,15504,Both,Data Analyst,Data Quality Analyst,Petronet LNG,Oil & Gas
2104835704469531,4 to 8 Years,M.Com,$55K-$95K,Willemstad,Curacao,Contract,101782,Male,Data Scientist,Machine Learning Engineer,Ryder System,Transportation
1061089422302191,5 to 14 Years,BCA,$61K-$128K,Phnom Penh,Cambodia,Temporary,47741,Female,Data Analyst,Business Intelligence Analyst,Shree Cement,Cement & Aggregates
241389614919706,2 to 11 Years,BCA,$64K-$112K,Mbabane,Eswatini,Temporary,42883,Female,Data Analyst,Business Intelligence Analyst,Cognizant Technology Solutions,IT Consulting
991794692896188,4 to 14 Years,B.Com,$61K-$129K,Beirut,Lebanon,Full-Time,129846,Both,Data Scientist,Machine Learning Engineer,Beiersdorf AG,Consumer Goods
2022354888583947,2 to 14 Years,BBA,$62K-$88K,Bissau,Guinea-Bissau,Contract,20434,Both,Data Analyst,Business Intelligence Analyst,Mindtree Limited,Information Technology
1303165121888130,3 to 15 Years,M.Com,$65K-$93K,Ṣo Tom̩,Sao Tome and Principe,Full-Time,27385,Male,Data Analyst,Business Intelligence Analyst,Campbell Soup,Food & Beverage
2632070364986578,4 to 13 Years,M.Com,$64K-$119K,Djibouti (city),Djibouti,Temporary,18342,Both,Data Engineer,Big Data Engineer,APA,Energy
3068206365496620,1 to 10 Years,MCA,$55K-$110K,Asmara,Eritrea,Intern,46444,Male,Data Analyst,Business Intelligence Analyst,CenterPoint Energy,Utilities
2762698296063649,0 to 14 Years,B.Com,$64K-$92K,Brazzaville,Republic Of Congo,Part-Time,107666,Male,Data Analyst,Business Intelligence Analyst,Vistra,Energy
1067745446651395,3 to 14 Years,B.Tech,$57K-$118K,Kinshasa,Democratic Republic Of Congo,Contract,79465,Male,Data Analyst,Business Intelligence Analyst,Tata Communications,Telecommunications
2117409435855130,2 to 11 Years,BCA,$60K-$101K,Tokyo,Japan,Part-Time,41809,Both,Data Scientist,Data Engineer,Fiat Chrysler Automobiles N.V.,Automotive
1065279431955633,4 to 12 Years,M.Com,$58K-$87K,Apia,American Samoa,Temporary,133575,Male,Data Engineer,Big Data Engineer,Massachusetts Mutual Life Insurance,Insurance
743955487818808,1 to 14 Years,M.Com,$57K-$90K,Port Vila,Vanuatu,Full-Time,48544,Female,Data Engineer,ETL Developer,"Harley-Davidson, Inc.",Automotive/Motorcycles
540334482356218,2 to 12 Years,MBA,$59K-$100K,Gitega,Burundi,Temporary,77836,Both,Data Analyst,Data Scientist,Peter Kiewit Sons,
1943950680816773,0 to 8 Years,M.Com,$62K-$82K,Paramaribo,Suriname,Contract,119965,Both,Data Engineer,Data Architect,Tesco,Retail
3055293745795682,1 to 11 Years,BBA,$61K-$102K,Niamey,Niger,Temporary,114737,Both,Data Scientist,Machine Learning Engineer,DXC Technology,IT Services
2333782114514705,5 to 9 Years,BCA,$58K-$120K,Gibraltar,Gibraltar,Intern,111350,Male,Data Analyst,Data Scientist,Hormel Foods,Food
2208117014380963,5 to 15 Years,MBA,$65K-$114K,Sofia,Bulgaria,Temporary,50324,Female,Data Engineer,Big Data Engineer,Allianz SE,Insurance
2138230071016012,3 to 15 Years,BCA,$65K-$118K,Seoul,"Korea, Rep.",Contract,20161,Both,Data Scientist,Data Engineer,W.W. Grainger,Industrial Supplies
1841985663187230,1 to 8 Years,PhD,$58K-$91K,Kyiv (also known as Kiev),Ukraine,Intern,48320,Female,Data Engineer,ETL Developer,CSX,Transportation
1876348006189752,4 to 12 Years,B.Com,$63K-$83K,Juba,South Sudan,Full-Time,118983,Both,Data Analyst,Data Scientist,Reynolds American Inc.,Tobacco
1739046583758948,4 to 10 Years,BA,$65K-$115K,Dhaka,Bangladesh,Temporary,20188,Female,Data Analyst,Data Quality Analyst,Kohl's,Retail
1681668352019442,3 to 9 Years,B.Tech,$63K-$101K,Skopje,"Macedonia, FYR",Full-Time,16255,Male,Data Engineer,Data Architect,Metro AG,Retail
233536687601624,2 to 15 Years,M.Tech,$61K-$111K,Stockholm,Sweden,Part-Time,68667,Female,Data Analyst,Business Intelligence Analyst,Newcrest Mining,Mining and Metals
1627335018269256,5 to 12 Years,B.Com,$63K-$113K,"Malabo (de jure),",Equatorial Guinea,Contract,75674,Both,Data Scientist,Machine Learning Engineer,Eastman Chemical,Chemicals
2300899607533101,5 to 9 Years,B.Com,$59K-$130K,Asmara,Eritrea,Intern,43747,Male,Data Analyst,Data Scientist,Bosch Group,Manufacturing
1934467307198574,3 to 15 Years,M.Com,$64K-$129K,Panama City,Panama,Intern,127649,Male,Data Analyst,Business Intelligence Analyst,Chewy,E-commerce
2933907637284060,3 to 13 Years,MCA,$64K-$83K,Tarawa,Kiribati,Part-Time,19457,Both,Data Scientist,Machine Learning Engineer,Biogen,Biotechnology
97553449266684,4 to 9 Years,MBA,$64K-$118K,Vienna,Austria,Temporary,79502,Male,Data Engineer,ETL Developer,Exxon Mobil Corporation,Energy/Oil and Gas
1657018660586617,5 to 14 Years,BCA,$58K-$89K,Porto-Novo,Benin,Temporary,67808,Both,Data Analyst,Data Scientist,Elevance Health,Healthcare
480553813533843,3 to 10 Years,BCA,$65K-$88K,Noumea,New Caledonia,Full-Time,111865,Male,Data Analyst,Business Intelligence Analyst,Fannie Mae,Financial Services
2385029405613656,1 to 9 Years,B.Tech,$59K-$93K,Bishkek,Kyrgyz Republic,Full-Time,26638,Both,Data Scientist,Machine Learning Engineer,NextEra Energy,Energy
745213814239193,5 to 14 Years,M.Com,$60K-$116K,Kyiv (also known as Kiev),Ukraine,Temporary,54961,Male,Data Analyst,Data Quality Analyst,CenterPoint Energy,Utilities
1195766753173187,0 to 15 Years,M.Com,$56K-$124K,Torshavn,Faroe Islands,Temporary,108207,Male,Data Analyst,Business Intelligence Analyst,Bosch Group,Manufacturing
2184964321170562,3 to 11 Years,M.Tech,$63K-$117K,Abu Dhabi,UAE,Intern,93546,Both,Data Engineer,Data Architect,Rio Tinto,Mining and Metals
891906981552540,4 to 8 Years,M.Tech,$55K-$80K,Manama,Bahrain,Temporary,127499,Male,Data Scientist,Data Engineer,Centene,Healthcare
892157169479263,3 to 10 Years,BCA,$65K-$83K,San Marino,San Marino,Part-Time,53000,Both,Data Analyst,Data Scientist,Live Nation Entertainment,Entertainment
1793102097481798,3 to 8 Years,M.Com,$56K-$111K,Budapest,Hungary,Part-Time,74627,Female,Data Analyst,Data Scientist,General Electric,Conglomerate
2786030309153223,2 to 8 Years,M.Com,$59K-$99K,Nouakchott,Mauritania,Part-Time,28012,Both,Data Analyst,Business Intelligence Analyst,Microsoft,Technology
2749360046562887,4 to 12 Years,PhD,$63K-$101K,Nouakchott,Mauritania,Contract,93298,Both,Data Engineer,Data Architect,DISH Network,Telecommunications
360839466409204,1 to 9 Years,MCA,$65K-$95K,N'Djamena,Chad,Full-Time,127278,Both,Data Analyst,Business Intelligence Analyst,Osram Licht AG (Now part of ams AG),Lighting and Technology
605390563006004,4 to 9 Years,B.Com,$59K-$124K,Oslo,Norway,Part-Time,31163,Female,Data Engineer,Big Data Engineer,Goodyear Tire & Rubber,Automotive
913519108125555,4 to 14 Years,BCA,$57K-$125K,Skopje,"Macedonia, FYR",Temporary,84742,Both,Data Scientist,Data Engineer,Tenet Healthcare,Healthcare
1303635257695288,3 to 13 Years,BA,$62K-$101K,Bern,Switzerland,Temporary,25487,Male,Data Scientist,Machine Learning Engineer,PPL,Energy
2403818181780041,4 to 8 Years,MBA,$56K-$96K,Ottawa,Canada,Contract,61131,Male,Data Analyst,Data Scientist,New Oriental Education & Technology Group,Education and Technology
572258694443668,2 to 9 Years,B.Com,$55K-$90K,Tirana,Albania,Temporary,76062,Female,Data Engineer,Data Architect,Seek Limited,Online Job Search
2938917174688914,4 to 13 Years,BA,$59K-$99K,Pretoria,South Africa,Intern,53234,Male,Data Analyst,Business Intelligence Analyst,Mindtree Limited,Information Technology
